round,query_slug,priority_family,pmid,title,journal,triage_decision,training_use,raw_file
16,daidzein_equol_non_producer_no_conversion_bacteria,isoflavone_reductive_and_glycoside_metabolism,24946051,"Absorption, distribution, metabolism, and excretion of isoflavonoids after soy intake.",Archives of biochemistry and biophysics,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round16_raw\daidzein_equol_non_producer_no_conversion_bacteria_esearch.json
16,daidzein_equol_non_producer_no_conversion_bacteria,isoflavone_reductive_and_glycoside_metabolism,23115971,[Microbial conversion of daidzein affects fecal equol concentration and bacterial composition of rats with or without ovariectomy].,Wei sheng wu xue bao = Acta microbiologica Sinica,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round16_raw\daidzein_equol_non_producer_no_conversion_bacteria_esearch.json
16,daidzein_equol_non_producer_no_conversion_bacteria,isoflavone_reductive_and_glycoside_metabolism,22113864,Daidzein and genistein are converted to equol and 5-hydroxy-equol by human intestinal Slackia isoflavoniconvertens in gnotobiotic rats.,The Journal of nutrition,context_only,not_a_sample,data\curation\ncbi_round16_raw\daidzein_equol_non_producer_no_conversion_bacteria_esearch.json
16,daidzein_equol_non_producer_no_conversion_bacteria,isoflavone_reductive_and_glycoside_metabolism,21092366,Is equol production beneficial to health?,The Proceedings of the Nutrition Society,context_only,not_a_sample,data\curation\ncbi_round16_raw\daidzein_equol_non_producer_no_conversion_bacteria_esearch.json
16,daidzein_equol_non_producer_no_conversion_bacteria,isoflavone_reductive_and_glycoside_metabolism,19357217,Is equol the key to the efficacy of soy foods?,The American journal of clinical nutrition,context_only,not_a_sample,data\curation\ncbi_round16_raw\daidzein_equol_non_producer_no_conversion_bacteria_esearch.json
16,daidzein_equol_non_producer_no_conversion_bacteria,isoflavone_reductive_and_glycoside_metabolism,18554770,"Acute and subchronic toxicity and genotoxicity of SE5-OH, an equol-rich product produced by Lactococcus garvieae.",Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,context_only,not_a_sample,data\curation\ncbi_round16_raw\daidzein_equol_non_producer_no_conversion_bacteria_esearch.json
16,daidzein_equol_non_producer_no_conversion_bacteria,isoflavone_reductive_and_glycoside_metabolism,18328079,Isolation and identification of equol-producing bacterial strains from cultures of pig faeces.,FEMS microbiology letters,context_only,not_a_sample,data\curation\ncbi_round16_raw\daidzein_equol_non_producer_no_conversion_bacteria_esearch.json
16,daidzein_equol_non_producer_no_conversion_bacteria,isoflavone_reductive_and_glycoside_metabolism,14988453,In vitro incubation of human feces with daidzein and antibiotics suggests interindividual differences in the bacteria responsible for equol production.,The Journal of nutrition,possible_assay_negative_or_cohort_context,negative_candidate_only_if no-conversion assay conditions are explicit,data\curation\ncbi_round16_raw\daidzein_equol_non_producer_no_conversion_bacteria_esearch.json
16,daidzein_equol_non_producer_no_conversion_bacteria,isoflavone_reductive_and_glycoside_metabolism,11238753,Wheat bran and soy protein feeding do not alter urinary excretion of the isoflavan equol in premenopausal women.,The Journal of nutrition,context_only,not_a_sample,data\curation\ncbi_round16_raw\daidzein_equol_non_producer_no_conversion_bacteria_esearch.json
16,gut_microbiota_bile_salt_hydrolase_glycocholate_cholate,bile_acid_deconjugation_and_lipid_context,38326608,Bile salt hydrolase acyltransferase activity expands bile acid diversity.,Nature,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round16_raw\gut_microbiota_bile_salt_hydrolase_glycocholate_cholate_esearch.json
16,gut_microbiota_chlorogenic_acid_caffeic_acid_quinic_acid_hydrolysis,hydroxycinnamate_reduction_and_hydrolysis,,,,search_miss,not_a_sample,data\curation\ncbi_round16_raw\gut_microbiota_chlorogenic_acid_caffeic_acid_quinic_acid_hydrolysis_esearch.json
16,gut_microbiota_quercetin_ring_fission_dihydroxyphenylacetic_acid,polyphenol_ring_fission,29504827,Flavonoid metabolism: the interaction of metabolites and gut microbiota.,"Bioscience, biotechnology, and biochemistry",literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round16_raw\gut_microbiota_quercetin_ring_fission_dihydroxyphenylacetic_acid_esearch.json
16,pinoresinol_lariciresinol_human_intestinal_bacteria,lignan_redox_and_deglycosylation,16915861,Assessing exposure to lignans and their metabolites in humans.,Journal of AOAC International,context_only,not_a_sample,data\curation\ncbi_round16_raw\pinoresinol_lariciresinol_human_intestinal_bacteria_esearch.json
16,pinoresinol_lariciresinol_human_intestinal_bacteria,lignan_redox_and_deglycosylation,16765860,Occurrence and activity of human intestinal bacteria involved in the conversion of dietary lignans.,Anaerobe,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round16_raw\pinoresinol_lariciresinol_human_intestinal_bacteria_esearch.json
16,pinoresinol_lariciresinol_human_intestinal_bacteria,lignan_redox_and_deglycosylation,12736449,"Biotransformation of pinoresinol diglucoside to mammalian lignans by human intestinal microflora, and isolation of Enterococcus faecalis strain PDG-1 responsible for the transformation of (+)-pinoresinol to (+)-lariciresinol.",Chemical & pharmaceutical bulletin,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round16_raw\pinoresinol_lariciresinol_human_intestinal_bacteria_esearch.json
16,urolithin_c_urolithin_a_dehydroxylation_gut_microbiota,urolithin_dehydroxylation,,,,search_miss,not_a_sample,data\curation\ncbi_round16_raw\urolithin_c_urolithin_a_dehydroxylation_gut_microbiota_esearch.json
