round,priority_family,negative_type,safe_for_training_scope,source_requirements,forbidden_shortcut,example_use
17,polyphenol_ring_fission,hard_decoy_rule_generated_nontruth,ranking_negative_only,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,Within-substrate candidate ranking where all candidates are chemically plausible outputs.
17,polyphenol_ring_fission,explicit_assay_no_conversion,biological_negative_after_manual_review,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,"Separate calibration/evaluation set, not mixed silently with hard decoys."
17,urolithin_dehydroxylation,hard_decoy_rule_generated_nontruth,ranking_negative_only,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,Within-substrate candidate ranking where all candidates are chemically plausible outputs.
17,urolithin_dehydroxylation,explicit_assay_no_conversion,biological_negative_after_manual_review,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,"Separate calibration/evaluation set, not mixed silently with hard decoys."
17,isoflavone_reductive_and_glycoside_metabolism,hard_decoy_rule_generated_nontruth,ranking_negative_only,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,Within-substrate candidate ranking where all candidates are chemically plausible outputs.
17,isoflavone_reductive_and_glycoside_metabolism,explicit_assay_no_conversion,biological_negative_after_manual_review,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,"Separate calibration/evaluation set, not mixed silently with hard decoys."
17,lignan_redox_and_deglycosylation,hard_decoy_rule_generated_nontruth,ranking_negative_only,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,Within-substrate candidate ranking where all candidates are chemically plausible outputs.
17,lignan_redox_and_deglycosylation,explicit_assay_no_conversion,biological_negative_after_manual_review,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,"Separate calibration/evaluation set, not mixed silently with hard decoys."
17,prenylflavonoid_o_demethylation,hard_decoy_rule_generated_nontruth,ranking_negative_only,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,Within-substrate candidate ranking where all candidates are chemically plausible outputs.
17,prenylflavonoid_o_demethylation,explicit_assay_no_conversion,biological_negative_after_manual_review,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,"Separate calibration/evaluation set, not mixed silently with hard decoys."
17,tryptophan_indole_metabolism,hard_decoy_rule_generated_nontruth,ranking_negative_only,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,Within-substrate candidate ranking where all candidates are chemically plausible outputs.
17,tryptophan_indole_metabolism,explicit_assay_no_conversion,biological_negative_after_manual_review,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,"Separate calibration/evaluation set, not mixed silently with hard decoys."
17,tma_choline_carnitine_metabolism,hard_decoy_rule_generated_nontruth,ranking_negative_only,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,Within-substrate candidate ranking where all candidates are chemically plausible outputs.
17,tma_choline_carnitine_metabolism,explicit_assay_no_conversion,biological_negative_after_manual_review,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,"Separate calibration/evaluation set, not mixed silently with hard decoys."
17,azoreductase_nitroreductase_xenobiotic,hard_decoy_rule_generated_nontruth,ranking_negative_only,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,Within-substrate candidate ranking where all candidates are chemically plausible outputs.
17,azoreductase_nitroreductase_xenobiotic,explicit_assay_no_conversion,biological_negative_after_manual_review,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,"Separate calibration/evaluation set, not mixed silently with hard decoys."
