round,priority_family,negative_type,negative_gate_status,allowed_training_scope,required_evidence,forbidden_shortcut,anti_cheat_check
18,urolithin_dehydroxylation,explicit_assay_no_conversion,blocked,blocked_until_explicit_no_conversion_source,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,report decoy source separately from assay negatives; never pool them as the same label type
18,isoflavone_reductive_and_glycoside_metabolism,hard_decoy_rule_generated_nontruth,conditional,allowed_as_ranking_decoy_only_after_leakage_check,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,report decoy source separately from assay negatives; never pool them as the same label type
18,isoflavone_reductive_and_glycoside_metabolism,explicit_assay_no_conversion,blocked,blocked_until_explicit_no_conversion_source,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,report decoy source separately from assay negatives; never pool them as the same label type
18,lignan_redox_and_deglycosylation,hard_decoy_rule_generated_nontruth,conditional,allowed_as_ranking_decoy_only_after_leakage_check,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,report decoy source separately from assay negatives; never pool them as the same label type
18,lignan_redox_and_deglycosylation,explicit_assay_no_conversion,blocked,blocked_until_explicit_no_conversion_source,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,report decoy source separately from assay negatives; never pool them as the same label type
18,prenylflavonoid_o_demethylation,hard_decoy_rule_generated_nontruth,conditional,allowed_as_ranking_decoy_only_after_leakage_check,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,report decoy source separately from assay negatives; never pool them as the same label type
18,prenylflavonoid_o_demethylation,explicit_assay_no_conversion,blocked,blocked_until_explicit_no_conversion_source,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,report decoy source separately from assay negatives; never pool them as the same label type
18,tryptophan_indole_metabolism,hard_decoy_rule_generated_nontruth,conditional,allowed_as_ranking_decoy_only_after_leakage_check,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,report decoy source separately from assay negatives; never pool them as the same label type
18,tryptophan_indole_metabolism,explicit_assay_no_conversion,blocked,blocked_until_explicit_no_conversion_source,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,report decoy source separately from assay negatives; never pool them as the same label type
18,tma_choline_carnitine_metabolism,hard_decoy_rule_generated_nontruth,conditional,allowed_as_ranking_decoy_only_after_leakage_check,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,report decoy source separately from assay negatives; never pool them as the same label type
18,tma_choline_carnitine_metabolism,explicit_assay_no_conversion,blocked,blocked_until_explicit_no_conversion_source,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,report decoy source separately from assay negatives; never pool them as the same label type
18,azoreductase_nitroreductase_xenobiotic,hard_decoy_rule_generated_nontruth,conditional,allowed_as_ranking_decoy_only_after_leakage_check,Generated by the same source-backed module/family rule set and absent from local positives after leakage check.,Do not call a generator miss a biological negative.,report decoy source separately from assay negatives; never pool them as the same label type
18,azoreductase_nitroreductase_xenobiotic,explicit_assay_no_conversion,blocked,blocked_until_explicit_no_conversion_source,"Paper/database must explicitly report substrate, organism/strain/community, condition/time, analytical method, and no detected product.",Do not infer no-conversion from absence in Rhea/PubMed or absence from a metabolic model.,report decoy source separately from assay negatives; never pool them as the same label type
18,all,generator_miss,forbidden,none,A generator miss only says the current rule path failed.,Do not label a true-world absence from model non-generation.,Separate generator recall errors from biological negative evidence.
18,all,database_absence,forbidden,none,Absence from Rhea/PubMed/VMH/MicrobeRX is not a no-conversion assay.,Do not use missing database records as negative labels.,Require explicit no-conversion text before assay-negative status.
