round,query_slug,priority_family,pmid,title,journal,candidate_class,training_use,raw_file
17,gut_microbiota_carnitine_trimethylamine,tma_choline_carnitine_metabolism,41705073,Elevated serum trimethylamine N-oxide (TMAO) and trimethyllysine in patients with amyotrophic lateral sclerosis (ALS): An exploratory case-control study.,IBRO neuroscience reports,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_carnitine_trimethylamine_esearch.json
17,gut_microbiota_carnitine_trimethylamine,tma_choline_carnitine_metabolism,41627321,Punicalagin is the key pomegranate polyphenol inhibiting gut microbial trimethylamine (TMA) production from L-carnitine in an in vitro human colon model.,Food & function,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_carnitine_trimethylamine_esearch.json
17,gut_microbiota_carnitine_trimethylamine,tma_choline_carnitine_metabolism,41516081,"Interplay Among Gut Microbiota-Derived TMAO, Autonomic Nervous System Dysfunction, and Heart Failure Progression.",International journal of molecular sciences,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_carnitine_trimethylamine_esearch.json
17,gut_microbiota_carnitine_trimethylamine,tma_choline_carnitine_metabolism,41454643,Gut‒heart axis: emerging therapies targeting trimethylamine N-oxide production.,Gut microbes,context_only,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_carnitine_trimethylamine_esearch.json
17,gut_microbiota_carnitine_trimethylamine,tma_choline_carnitine_metabolism,41441627,"Correlations Between Trimethylamine-N-Oxide, Megalin, Lysine and Markers of Tubular Damage in Chronic Kidney Disease.",Toxins,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_carnitine_trimethylamine_esearch.json
17,gut_microbiota_carnitine_trimethylamine,tma_choline_carnitine_metabolism,41374010,Plasma and Urinary TMAO and Methylamine Responses to Meat and Egg Ingestion: Links to Gut Microbiota Composition in Subjects With and Without Metabolic Syndrome.,Nutrients,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_carnitine_trimethylamine_esearch.json
17,gut_microbiota_carnitine_trimethylamine,tma_choline_carnitine_metabolism,41291687,Associations of trimethylamine N-oxide (TMAO) and its precursors with childhood obesity: a case-control study.,BMC endocrine disorders,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_carnitine_trimethylamine_esearch.json
17,gut_microbiota_carnitine_trimethylamine,tma_choline_carnitine_metabolism,41232933,Gut microbiota-derived TMAO drives the kidney-bone-vascular axis in chronic kidney disease complications.,Renal failure,context_only,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_carnitine_trimethylamine_esearch.json
17,gut_microbiota_carnitine_trimethylamine,tma_choline_carnitine_metabolism,41154676,From Gut to Heart: Targeting Trimethylamine N-Oxide as a Novel Strategy in Heart Failure Management.,Biomolecules,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_carnitine_trimethylamine_esearch.json
17,gut_microbiota_carnitine_trimethylamine,tma_choline_carnitine_metabolism,40996814,Associations of Plasma Trimethylamine N -Oxide-Related Metabolites with the Development and Progression of Albuminuria : The Multiethnic Study of Atherosclerosis.,Clinical journal of the American Society of Nephrology : CJASN,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_carnitine_trimethylamine_esearch.json
17,gut_microbiota_carnitine_trimethylamine,tma_choline_carnitine_metabolism,40987209,Trimethylamine N-Oxide (TMAO) and cancer risk: Insights into a possible link.,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_carnitine_trimethylamine_esearch.json
17,gut_microbiota_carnitine_trimethylamine,tma_choline_carnitine_metabolism,40970516,"Effect of Varying Quantities of Lean Beef as Part of a Mediterranean-Style Dietary Pattern on Gut Microbiota and Plasma, Fecal, and Urinary Metabolites: A Randomized Crossover Controlled Feeding Trial.",Journal of the American Heart Association,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_carnitine_trimethylamine_esearch.json
17,gut_microbiota_carnitine_trimethylamine,tma_choline_carnitine_metabolism,40907381,"Fluoromethylcarnitine, a novel inhibitor of trimethylamine levels in trimethylaminuria and trimethylamine N-oxide related disorders.",European journal of medicinal chemistry,context_only,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_carnitine_trimethylamine_esearch.json
17,gut_microbiota_carnitine_trimethylamine,tma_choline_carnitine_metabolism,40853000,Proteomic and metabolomic analysis reveals new insights into quaternary amine metabolism in Citrobacter amalonaticus CJ25.,mSphere,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_carnitine_trimethylamine_esearch.json
17,gut_microbiota_carnitine_trimethylamine,tma_choline_carnitine_metabolism,40820985,Microbiota γ-Butyrobetaine Is Associated With Increased Risk of Major Adverse Limb Events in People With Lower Extremity Arterial Disease Undergoing Endovascular Therapy.,Journal of the American Heart Association,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_carnitine_trimethylamine_esearch.json
17,gut_microbiota_carnitine_trimethylamine,tma_choline_carnitine_metabolism,40598778,"Trimethylamine-N-oxide formation, the bacterial taxa involved and intervention strategies to reduce its concentration in the human body.",Annals of medicine,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_carnitine_trimethylamine_esearch.json
17,gut_microbiota_choline_trimethylamine_lyase,tma_choline_carnitine_metabolism,42022109,Porphyromonas gingivalis drives trimethylamine-N-oxide accumulation via modulation of gut microbial trimethylamine lyase in mice.,Frontiers in microbiology,enzyme_or_mechanism_lead,candidate_after exact substrate/product extraction and assay/source verification,data\curation\ncbi_round17_raw\gut_microbiota_choline_trimethylamine_lyase_esearch.json
17,gut_microbiota_choline_trimethylamine_lyase,tma_choline_carnitine_metabolism,42001815,Gut microbiota-derived trimethylamine N-oxide promotes vascular dysfunction and hypertension in systemic lupus erythematosus.,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_choline_trimethylamine_lyase_esearch.json
17,gut_microbiota_choline_trimethylamine_lyase,tma_choline_carnitine_metabolism,41997160,Intestinal dysbiosis exacerbates skin inflammation via microbial metabolite-driven Th2 cell differentiation.,Immunity,context_only,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_choline_trimethylamine_lyase_esearch.json
17,gut_microbiota_choline_trimethylamine_lyase,tma_choline_carnitine_metabolism,41855263,Gut microbe-derived N-acyl serinol lipids shape host postprandial metabolic homeostasis.,Proceedings of the National Academy of Sciences of the United States of America,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_choline_trimethylamine_lyase_esearch.json
17,gut_microbiota_choline_trimethylamine_lyase,tma_choline_carnitine_metabolism,41728982,Phenotypic high-throughput screening identifies modulators of gut microbial choline metabolism.,mBio,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_choline_trimethylamine_lyase_esearch.json
17,gut_microbiota_choline_trimethylamine_lyase,tma_choline_carnitine_metabolism,41614677,Discovery of a Highly Potent and Selective Small-Molecule Inhibitor of In Vivo Anaerobic Choline Metabolism by Human Gut Bacteria.,Journal of medicinal chemistry,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_choline_trimethylamine_lyase_esearch.json
17,gut_microbiota_choline_trimethylamine_lyase,tma_choline_carnitine_metabolism,41608868,Gut microbe-derived trimethylamine shapes circadian rhythms through the host receptor TAAR5.,eLife,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_choline_trimethylamine_lyase_esearch.json
17,gut_microbiota_choline_trimethylamine_lyase,tma_choline_carnitine_metabolism,41454643,Gut‒heart axis: emerging therapies targeting trimethylamine N-oxide production.,Gut microbes,context_only,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_choline_trimethylamine_lyase_esearch.json
17,gut_microbiota_choline_trimethylamine_lyase,tma_choline_carnitine_metabolism,41406813,"Effects of rapeseed meal replacement of soybean meal on production performance, egg quality and gut microbiota in laying ducks.",Poultry science,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_choline_trimethylamine_lyase_esearch.json
17,gut_microbiota_choline_trimethylamine_lyase,tma_choline_carnitine_metabolism,41197815,"Metformin-mediated modulation of gut microbiota-derived trimethylamine N-oxide (TMAO) in myocardial infarction: Insights from in vivo, metabolomics, and in silico studies.",Toxicology and applied pharmacology,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_choline_trimethylamine_lyase_esearch.json
17,gut_microbiota_choline_trimethylamine_lyase,tma_choline_carnitine_metabolism,41155754,TMAO and Cardiovascular Disease: Exploring Its Potential as a Biomarker.,"Medicina (Kaunas, Lithuania)",context_only,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_choline_trimethylamine_lyase_esearch.json
17,gut_microbiota_choline_trimethylamine_lyase,tma_choline_carnitine_metabolism,40863168,Choline Metabolism to the Proatherogenic Metabolite Trimethylamine Occurs Primarily in the Distal Colon Microbiome In Vitro.,Metabolites,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_choline_trimethylamine_lyase_esearch.json
17,gut_microbiota_choline_trimethylamine_lyase,tma_choline_carnitine_metabolism,40852121,"Ex vivo study on prebiotic & choline combination to modulate gut bacteria, enhance choline bioavailability, and reduce TMA production.",Microbiome research reports,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_choline_trimethylamine_lyase_esearch.json
17,gut_microbiota_choline_trimethylamine_lyase,tma_choline_carnitine_metabolism,39604809,In vivo mechanism of the interaction between trimethylamine lyase expression and glycolytic pathways.,Food & function,enzyme_or_mechanism_lead,candidate_after exact substrate/product extraction and assay/source verification,data\curation\ncbi_round17_raw\gut_microbiota_choline_trimethylamine_lyase_esearch.json
17,gut_microbiota_choline_trimethylamine_lyase,tma_choline_carnitine_metabolism,39275312,Treatment with Gac Fruit Extract and Probiotics Reduces Serum Trimethylamine N-Oxide in Chronic Kidney Disease Rats.,Nutrients,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_choline_trimethylamine_lyase_esearch.json
17,gut_microbiota_choline_trimethylamine_lyase,tma_choline_carnitine_metabolism,39153148,"3,3-Dimethyl-1-Butanol and its Metabolite 3,3-Dimethylbutyrate Ameliorate Collagen-induced Arthritis Independent of Choline Trimethylamine Lyase Activity.",Inflammation,enzyme_or_mechanism_lead,candidate_after exact substrate/product extraction and assay/source verification,data\curation\ncbi_round17_raw\gut_microbiota_choline_trimethylamine_lyase_esearch.json
17,gut_microbiota_choline_trimethylamine_lyase,tma_choline_carnitine_metabolism,37337893,The roles of trimethylamine-N-oxide in atherosclerosis and its potential therapeutic aspect: A literature review.,Biomolecules & biomedicine,context_only,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_choline_trimethylamine_lyase_esearch.json
17,gut_microbiota_choline_trimethylamine_lyase,tma_choline_carnitine_metabolism,37011073,Gut Microbiota-Derived Trimethylamine N-Oxide Contributes to Abdominal Aortic Aneurysm Through Inflammatory and Apoptotic Mechanisms.,Circulation,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_choline_trimethylamine_lyase_esearch.json
17,gut_microbiota_choline_trimethylamine_lyase,tma_choline_carnitine_metabolism,36938237,Re-defining the Gut Heart Axis: A Systematic Review of the Literature on the Role of Gut Microbial Dysbiosis in Patients With Heart Failure.,Cureus,context_only,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_choline_trimethylamine_lyase_esearch.json
17,gut_microbiota_choline_trimethylamine_lyase,tma_choline_carnitine_metabolism,36855809,The Effect of Inulin-Type Fructans on Plasma Trimethylamine N-Oxide Levels in Peritoneal Dialysis Patients: A Randomized Crossover Trial.,Molecular nutrition & food research,context_only,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_choline_trimethylamine_lyase_esearch.json
17,gut_microbiota_ferulic_acid_dihydroferulic_acid_reduction,hydroxycinnamate_reduction_and_hydrolysis,,,,search_miss,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_ferulic_acid_dihydroferulic_acid_reduction_esearch.json
17,gut_microbiota_sulfatase_polyphenol_sulfate_deconjugation,glucuronide_sulfate_deconjugation,,,,search_miss,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_sulfatase_polyphenol_sulfate_deconjugation_esearch.json
17,gut_microbiota_tryptophan_indole_indolepropionic_acid,tryptophan_indole_metabolism,42206057,Stress accelerates hepatocellular carcinoma progression via a gut microbial-metabolite axis.,Frontiers in immunology,context_only,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_tryptophan_indole_indolepropionic_acid_esearch.json
17,gut_microbiota_tryptophan_indole_indolepropionic_acid,tryptophan_indole_metabolism,42199008,Increasing plant protein sources in the diet modulates gut microbiota and tryptophan metabolism in men at cardiometabolic risk.,Gut microbes,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_tryptophan_indole_indolepropionic_acid_esearch.json
17,gut_microbiota_tryptophan_indole_indolepropionic_acid,tryptophan_indole_metabolism,42157054,Integrated multi-omics analysis reveals a gut microbiota-tryptophan metabolism axis contributes to sex differences in a β-aminopropionitrile-induced aortic dissection mouse model.,Biology of sex differences,context_only,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_tryptophan_indole_indolepropionic_acid_esearch.json
17,gut_microbiota_tryptophan_indole_indolepropionic_acid,tryptophan_indole_metabolism,42116470,Fructooligosaccharides alleviate early-life antibiotic-exposed food allergy via the Indole-3-propionic acid-AhR-Nrf2 Axis: A multi-omics prospective cohort study.,"Food research international (Ottawa, Ont.)",context_only,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_tryptophan_indole_indolepropionic_acid_esearch.json
17,gut_microbiota_tryptophan_indole_indolepropionic_acid,tryptophan_indole_metabolism,42034038,Parabacteroides distasonis-derived extracellular vesicles alleviate ulcerative colitis by regulating tryptophan metabolism to activates AhR.,Microbiological research,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_tryptophan_indole_indolepropionic_acid_esearch.json
17,gut_microbiota_tryptophan_indole_indolepropionic_acid,tryptophan_indole_metabolism,41964572,Lycium Barbarum Polysaccharide Attenuates Staphylococcus aureus-Induced Mastitis via the Gut Microbiota-Derived Indole-3-Propionic Acid/AhR-IL-22-STAT3 Axis.,Journal of agricultural and food chemistry,context_only,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_tryptophan_indole_indolepropionic_acid_esearch.json
17,gut_microbiota_tryptophan_indole_indolepropionic_acid,tryptophan_indole_metabolism,41825730,Lactobacillus johnsonii and 3-indolepropionic acid improve the depression-like behaviors via inhibiting neuroinflammation.,Pharmacological research,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_tryptophan_indole_indolepropionic_acid_esearch.json
17,gut_microbiota_tryptophan_indole_indolepropionic_acid,tryptophan_indole_metabolism,41741429,A microbiota-IPA axis facilitates intestinal stem cell-mediated regeneration in colitis through a Hopx-associated program.,Nature communications,context_only,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_tryptophan_indole_indolepropionic_acid_esearch.json
17,gut_microbiota_tryptophan_indole_indolepropionic_acid,tryptophan_indole_metabolism,41730870,pH regulates gut bacterial tryptophan metabolism.,NPJ biofilms and microbiomes,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_tryptophan_indole_indolepropionic_acid_esearch.json
17,gut_microbiota_tryptophan_indole_indolepropionic_acid,tryptophan_indole_metabolism,41711114,Indole-3-propionic Acid Is an Endogenous Agonist of TAS2R38.,Journal of agricultural and food chemistry,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_tryptophan_indole_indolepropionic_acid_esearch.json
17,gut_microbiota_tryptophan_indole_indolepropionic_acid,tryptophan_indole_metabolism,41651833,Microbiota-derived IPA protects against colitis by regulating intestinal HMGCS2-mediated ketogenesis to facilitate mucosal healing.,Nature communications,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_tryptophan_indole_indolepropionic_acid_esearch.json
17,gut_microbiota_tryptophan_indole_indolepropionic_acid,tryptophan_indole_metabolism,41522356,Gut Metabolite Indoleacrylic Acid Suppresses Osteoclast Formation by AHR mediated NF-κB Signaling Pathway.,International journal of biological sciences,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_tryptophan_indole_indolepropionic_acid_esearch.json
17,gut_microbiota_tryptophan_indole_indolepropionic_acid,tryptophan_indole_metabolism,41397968,Chemotherapy-driven intestinal dysbiosis and indole-3-propionic acid rewire myelopoiesis to promote a metastasis-refractory state.,Nature communications,context_only,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_tryptophan_indole_indolepropionic_acid_esearch.json
17,gut_microbiota_tryptophan_indole_indolepropionic_acid,tryptophan_indole_metabolism,41198173,Indole-3-propionic acid links gut dysfunction to diabetic retinopathy: a biomarker and novel therapeutic approach.,Gut,context_only,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_tryptophan_indole_indolepropionic_acid_esearch.json
17,gut_microbiota_tryptophan_indole_indolepropionic_acid,tryptophan_indole_metabolism,41187844,Clostridium sporogenes and its tryptophan metabolite indole -3- propionic acid repair antibiotic-induced muscle atrophy in mice.,The Journal of nutritional biochemistry,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_tryptophan_indole_indolepropionic_acid_esearch.json
17,gut_microbiota_tryptophan_indole_indolepropionic_acid,tryptophan_indole_metabolism,41093016,"Indole-3-propionic acid function through PXR and AhR, molecular signaling pathways, and antitoxic role in underlying diseases.",The Journal of steroid biochemistry and molecular biology,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_tryptophan_indole_indolepropionic_acid_esearch.json
17,gut_microbiota_tryptophan_indole_indolepropionic_acid,tryptophan_indole_metabolism,40942152,Microbiota-Derived Tryptophan Metabolite Indole-3-Propionic Acid-Emerging Role in Neuroprotection.,"Molecules (Basel, Switzerland)",literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_tryptophan_indole_indolepropionic_acid_esearch.json
17,gut_microbiota_tryptophan_indole_indolepropionic_acid,tryptophan_indole_metabolism,40825672,Indole Propionic Acid Regulates Gut Immunity: Mechanisms of Metabolite-Driven Immunomodulation and Barrier Integrity.,Journal of microbiology and biotechnology,literature_lead_for_manual_exact_pair_review,candidate_only_after exact substrate/product/evidence extraction,data\curation\ncbi_round17_raw\gut_microbiota_tryptophan_indole_indolepropionic_acid_esearch.json
17,gut_microbiota_tryptophan_indole_indolepropionic_acid,tryptophan_indole_metabolism,40751356,Bifidobacterium breve M-16V Alleviates Cow's Milk Allergy in a Mouse Model via Gut Microbiota-Derived Indole-3-Propionic Acid-Aryl Hydrocarbon Receptor Signaling Axis.,Allergy,context_only,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_tryptophan_indole_indolepropionic_acid_esearch.json
17,gut_microbiota_tryptophan_indole_indolepropionic_acid,tryptophan_indole_metabolism,40451535,Prenatal supplementation with the gut-derived tryptophan metabolite indole-3-propionic acid alleviates colitis susceptibility in maternal immune-activated offspring mice.,Journal of advanced research,context_only,not_a_sample,data\curation\ncbi_round17_raw\gut_microbiota_tryptophan_indole_indolepropionic_acid_esearch.json
