round,query_slug,priority_family,rhea_id,equation,status,balanced,triage_decision,training_use,raw_file
16,bile_salt_hydrolase,bile_acid_deconjugation_and_lipid_context,RHEA:79131,cholate + L-alanine = L-alanocholate + H2O,approved,True,approved_biochemical_context,candidate_only_after exact substrate/product mapping and local de-dup,data\curation\rhea_round16_raw\bile_salt_hydrolase.json
16,bile_salt_hydrolase,bile_acid_deconjugation_and_lipid_context,RHEA:79139,cholate + L-serine = L-serocholate + H2O,approved,True,approved_biochemical_context,candidate_only_after exact substrate/product mapping and local de-dup,data\curation\rhea_round16_raw\bile_salt_hydrolase.json
16,bile_salt_hydrolase,bile_acid_deconjugation_and_lipid_context,RHEA:79087,an L-alpha-amino acid + cholate = an N-choloyl-L-alpha-amino acid + H2O,approved,True,approved_biochemical_context,candidate_only_after exact substrate/product mapping and local de-dup,data\curation\rhea_round16_raw\bile_salt_hydrolase.json
16,caffeate_reduction,hydroxycinnamate_reduction_and_hydrolysis,,,no_rhea_result,,needs_literature_or_other_database,not_a_sample,data\curation\rhea_round16_raw\caffeate_reduction.json
16,catechin_gut_microbiota,polyphenol_ring_fission,,,no_rhea_result,,needs_literature_or_other_database,not_a_sample,data\curation\rhea_round16_raw\catechin_gut_microbiota.json
16,chlorogenate_hydrolase,hydroxycinnamate_reduction_and_hydrolysis,RHEA:20689,chlorogenate + H2O = L-quinate + (E)-caffeate + H(+),approved,True,source_backed_existing_positive,do_not_duplicate; use for route repair or provenance,data\curation\rhea_round16_raw\chlorogenate_hydrolase.json
16,daidzein_reductase,isoflavone_reductive_and_glycoside_metabolism,RHEA:53208,daidzein + reduced [NADPH--hemoprotein reductase] + O2 = 2'-hydroxydaidzein + oxidized [NADPH--hemoprotein reductase] + H2O + H(+),approved,True,approved_biochemical_context,candidate_only_after exact substrate/product mapping and local de-dup,data\curation\rhea_round16_raw\daidzein_reductase.json
16,equol,isoflavone_reductive_and_glycoside_metabolism,,,no_rhea_result,,needs_literature_or_other_database,not_a_sample,data\curation\rhea_round16_raw\equol.json
16,fucosyllactose_hydrolase,glycoside_and_hmo_hydrolysis,,,no_rhea_result,,needs_literature_or_other_database,not_a_sample,data\curation\rhea_round16_raw\fucosyllactose_hydrolase.json
16,glycocholate_hydrolase,bile_acid_deconjugation_and_lipid_context,RHEA:19353,glycocholate + H2O = cholate + glycine,approved,True,source_backed_existing_positive,do_not_duplicate; use for route repair or provenance,data\curation\rhea_round16_raw\glycocholate_hydrolase.json
16,pinoresinol_reductase,lignan_redox_and_deglycosylation,RHEA:56776,(+)-pinoresinol + reduced [NADPH--hemoprotein reductase] + O2 = (+)-piperitol + oxidized [NADPH--hemoprotein reductase] + 2 H2O + H(+),approved,True,approved_biochemical_context,candidate_only_after exact substrate/product mapping and local de-dup,data\curation\rhea_round16_raw\pinoresinol_reductase.json
16,quercetin_degradation,polyphenol_ring_fission,,,no_rhea_result,,needs_literature_or_other_database,not_a_sample,data\curation\rhea_round16_raw\quercetin_degradation.json
16,taurocholate_hydrolase,bile_acid_deconjugation_and_lipid_context,RHEA:79127,taurocholate + L-phenylalanine = L-phenylalanocholate + taurine,approved,True,approved_biochemical_context,candidate_only_after exact substrate/product mapping and local de-dup,data\curation\rhea_round16_raw\taurocholate_hydrolase.json
16,urolithin_dehydroxylation,urolithin_dehydroxylation,,,no_rhea_result,,needs_literature_or_other_database,not_a_sample,data\curation\rhea_round16_raw\urolithin_dehydroxylation.json
