round,query_slug,priority_family,rhea_id,equation,status,balanced,candidate_class,training_use,raw_file
17,choline_trimethylamine_lyase,tma_choline_carnitine_metabolism,RHEA:35095,choline = trimethylamine + acetaldehyde,approved,True,approved_exact_or_specific_reaction_lead,"candidate_after ChEBI/PubChem mapping, local de-dup, and generator route check",data\curation\rhea_round17_raw\choline_trimethylamine_lyase.json
17,ferulate_reductase,hydroxycinnamate_reduction_and_hydrolysis,,,no_rhea_result,,no_direct_rhea_hit,not_a_sample,data\curation\rhea_round17_raw\ferulate_reductase.json
17,ferulic_acid_demethylation,hydroxycinnamate_reduction_and_hydrolysis,,,no_rhea_result,,no_direct_rhea_hit,not_a_sample,data\curation\rhea_round17_raw\ferulic_acid_demethylation.json
17,glucuronide_hydrolase,glucuronide_sulfate_deconjugation,RHEA:34179,mycophenolic acid O-acyl-beta-D-glucuronide + H2O = mycophenolate + D-glucuronate + H(+),approved,True,approved_exact_or_specific_reaction_lead,"candidate_after ChEBI/PubChem mapping, local de-dup, and generator route check",data\curation\rhea_round17_raw\glucuronide_hydrolase.json
17,glucuronide_hydrolase,glucuronide_sulfate_deconjugation,RHEA:28130,baicalin + H2O = baicalein + D-glucuronate + H(+),approved,True,approved_exact_or_specific_reaction_lead,"candidate_after ChEBI/PubChem mapping, local de-dup, and generator route check",data\curation\rhea_round17_raw\glucuronide_hydrolase.json
17,glucuronide_hydrolase,glucuronide_sulfate_deconjugation,RHEA:17369,glycyrrhizin + H2O = 2-(beta-D-glucuronosyl)-D-glucuronate + glycyrrhetinate,approved,True,approved_exact_or_specific_reaction_lead,"candidate_after ChEBI/PubChem mapping, local de-dup, and generator route check",data\curation\rhea_round17_raw\glucuronide_hydrolase.json
17,glucuronide_hydrolase,glucuronide_sulfate_deconjugation,RHEA:28314,baicalein + UDP-alpha-D-glucuronate = baicalin + UDP,approved,True,approved_exact_or_specific_reaction_lead,"candidate_after ChEBI/PubChem mapping, local de-dup, and generator route check",data\curation\rhea_round17_raw\glucuronide_hydrolase.json
17,glucuronide_hydrolase,glucuronide_sulfate_deconjugation,RHEA:20005,an alpha-D-glucuronoside + H2O = D-glucuronate + an alcohol,approved,True,generic_rule_template_context,rule_family_context_only_until exact compounds are mapped,data\curation\rhea_round17_raw\glucuronide_hydrolase.json
17,indolelactate_dehydrogenase,tryptophan_indole_metabolism,RHEA:20133,3-(indol-3-yl)lactate + NAD(+) = indole-3-pyruvate + NADH + H(+),approved,True,approved_exact_or_specific_reaction_lead,"candidate_after ChEBI/PubChem mapping, local de-dup, and generator route check",data\curation\rhea_round17_raw\indolelactate_dehydrogenase.json
17,nitroreductase,azoreductase_nitroreductase_xenobiotic,RHEA:52884,N-phenylhydroxylamine + 2 NADP(+) + H2O = nitrobenzene + 2 NADPH + 2 H(+),approved,True,approved_exact_or_specific_reaction_lead,"candidate_after ChEBI/PubChem mapping, local de-dup, and generator route check",data\curation\rhea_round17_raw\nitroreductase.json
17,tryptophan_indole_lyase,tryptophan_indole_metabolism,RHEA:26434,indole + L-serine = L-tryptophan + H2O,approved,True,approved_exact_or_specific_reaction_lead,"candidate_after ChEBI/PubChem mapping, local de-dup, and generator route check",data\curation\rhea_round17_raw\tryptophan_indole_lyase.json
17,tryptophan_indole_lyase,tryptophan_indole_metabolism,RHEA:19553,L-tryptophan + H2O = indole + pyruvate + NH4(+),approved,True,approved_exact_or_specific_reaction_lead,"candidate_after ChEBI/PubChem mapping, local de-dup, and generator route check",data\curation\rhea_round17_raw\tryptophan_indole_lyase.json
17,tryptophan_indole_lyase,tryptophan_indole_metabolism,RHEA:30339,L-tryptophan + H(+) = tryptamine + CO2,approved,True,approved_exact_or_specific_reaction_lead,"candidate_after ChEBI/PubChem mapping, local de-dup, and generator route check",data\curation\rhea_round17_raw\tryptophan_indole_lyase.json
17,tryptophan_indole_lyase,tryptophan_indole_metabolism,RHEA:27586,L-tryptophan + pyruvate = indole-3-pyruvate + L-alanine,approved,True,approved_exact_or_specific_reaction_lead,"candidate_after ChEBI/PubChem mapping, local de-dup, and generator route check",data\curation\rhea_round17_raw\tryptophan_indole_lyase.json
17,tryptophan_indole_lyase,tryptophan_indole_metabolism,RHEA:10532,"(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate + L-serine = D-glyceraldehyde 3-phosphate + L-tryptophan + H2O",approved,True,approved_exact_or_specific_reaction_lead,"candidate_after ChEBI/PubChem mapping, local de-dup, and generator route check",data\curation\rhea_round17_raw\tryptophan_indole_lyase.json
17,tryptophan_indole_lyase,tryptophan_indole_metabolism,RHEA:73763,L-tryptophan + L-alanine + 2 ATP = cyclo(L-tryptophyl-L-alanyl) + 2 ADP + 2 phosphate + 2 H(+),approved,True,approved_exact_or_specific_reaction_lead,"candidate_after ChEBI/PubChem mapping, local de-dup, and generator route check",data\curation\rhea_round17_raw\tryptophan_indole_lyase.json
